skin_tone,nail_shape,nail_length,style_preference,occasion,recommended_design
cool,oval,medium,classic,party,Korean Pink
cool,squoval,medium,classic,wedding,Korean Pink
neutral,squoval,short,bold,date,Cat Eye
warm,coffin,short,bold,work,Minimal Nude
neutral,coffin,long,classic,party,Terracotta Swirl
cool,square,long,classic,work,Korean Pink
cool,round,long,bold,party,Marble
neutral,squoval,short,minimal,work,Minimal Nude
warm,coffin,medium,bold,party,Glitter Gold
cool,round,long,minimal,party,Marble
warm,square,long,bold,date,Glitter Gold
neutral,squoval,long,minimal,work,Minimal Nude
cool,oval,long,minimal,party,Marble
neutral,almond,long,bold,daily,Terracotta Swirl
warm,round,short,minimal,daily,Minimal Nude
warm,square,medium,minimal,work,Minimal Nude
cool,stiletto,short,classic,date,Korean Pink
neutral,stiletto,medium,classic,wedding,Korean Pink
cool,square,short,bold,work,French Classic
warm,oval,medium,minimal,date,Minimal Nude
cool,oval,long,bold,party,Marble
cool,coffin,short,minimal,work,Minimal Nude
warm,stiletto,short,minimal,party,Minimal Nude
cool,oval,short,bold,wedding,Marble
neutral,almond,short,classic,daily,French Classic
neutral,almond,medium,classic,daily,French Classic
warm,oval,short,bold,wedding,Glitter Gold
warm,round,long,minimal,wedding,Glitter Gold
warm,square,long,classic,daily,French Classic
neutral,squoval,short,classic,wedding,French Classic
cool,almond,short,classic,wedding,Korean Pink
warm,coffin,short,bold,wedding,Glitter Gold
cool,square,short,classic,party,Korean Pink
cool,almond,short,minimal,date,French Classic
warm,square,medium,minimal,party,Minimal Nude
warm,coffin,long,classic,party,Glitter Gold
neutral,stiletto,medium,classic,wedding,Korean Pink
cool,coffin,medium,bold,work,Cat Eye
cool,round,medium,bold,daily,Cat Eye
cool,stiletto,long,minimal,daily,Minimal Nude
warm,oval,short,minimal,wedding,Cat Eye
warm,stiletto,short,minimal,daily,Minimal Nude
neutral,stiletto,medium,bold,daily,Cat Eye
neutral,stiletto,medium,bold,wedding,Terracotta Swirl
warm,almond,short,minimal,work,Minimal Nude
neutral,round,short,minimal,daily,Korean Pink
warm,oval,short,bold,daily,Minimal Nude
neutral,almond,short,classic,work,French Classic
cool,almond,long,minimal,party,Marble
neutral,almond,short,classic,work,French Classic
warm,oval,short,classic,work,French Classic
neutral,oval,long,minimal,daily,Minimal Nude
cool,stiletto,short,minimal,party,Korean Pink
neutral,square,long,classic,date,Korean Pink
warm,squoval,medium,classic,work,French Classic
neutral,coffin,medium,classic,work,French Classic
cool,square,long,minimal,date,Korean Pink
cool,round,long,bold,party,Glitter Gold
neutral,round,medium,bold,wedding,Terracotta Swirl
neutral,coffin,short,bold,wedding,Terracotta Swirl
cool,squoval,medium,bold,party,Marble
cool,stiletto,medium,classic,date,Korean Pink
warm,oval,long,minimal,daily,Minimal Nude
cool,squoval,medium,classic,party,Korean Pink
cool,squoval,short,minimal,party,Korean Pink
warm,stiletto,short,classic,party,French Classic
neutral,oval,medium,classic,daily,French Classic
neutral,oval,short,bold,work,French Classic
warm,squoval,medium,minimal,wedding,Minimal Nude
warm,squoval,medium,minimal,wedding,Minimal Nude
neutral,square,short,minimal,party,Minimal Nude
cool,squoval,medium,minimal,party,Korean Pink
warm,square,short,minimal,wedding,Minimal Nude
neutral,square,short,minimal,date,Minimal Nude
warm,squoval,medium,minimal,wedding,Minimal Nude
cool,coffin,medium,bold,date,Cat Eye
warm,almond,short,bold,wedding,Glitter Gold
cool,stiletto,long,minimal,wedding,Marble
cool,round,short,classic,wedding,Korean Pink
warm,square,long,minimal,wedding,Glitter Gold
cool,stiletto,medium,bold,wedding,Marble
cool,coffin,short,minimal,wedding,Korean Pink
neutral,oval,long,bold,date,Terracotta Swirl
warm,squoval,long,classic,daily,French Classic
warm,squoval,short,bold,wedding,Cat Eye
cool,almond,long,classic,daily,Korean Pink
warm,stiletto,medium,bold,work,Cat Eye
warm,squoval,short,minimal,daily,Minimal Nude
neutral,squoval,long,minimal,wedding,Terracotta Swirl
cool,square,long,bold,work,Cat Eye
neutral,oval,long,bold,daily,Terracotta Swirl
warm,coffin,short,bold,date,Cat Eye
cool,squoval,long,minimal,wedding,Marble
warm,square,short,minimal,party,Glitter Gold
warm,squoval,long,classic,date,Korean Pink
cool,stiletto,medium,minimal,wedding,Korean Pink
warm,coffin,long,classic,wedding,Glitter Gold
warm,square,short,minimal,daily,Minimal Nude
neutral,squoval,medium,minimal,wedding,Minimal Nude
cool,almond,short,bold,party,Marble
cool,oval,medium,bold,daily,Cat Eye
cool,almond,long,minimal,date,Marble
neutral,oval,medium,minimal,daily,Minimal Nude
warm,almond,short,bold,work,Cat Eye
cool,square,short,classic,wedding,Korean Pink
cool,squoval,long,minimal,date,Korean Pink
cool,coffin,short,bold,daily,French Classic
cool,oval,short,classic,work,French Classic
neutral,coffin,long,minimal,daily,Minimal Nude
neutral,oval,medium,minimal,daily,Minimal Nude
warm,oval,short,bold,wedding,Glitter Gold
neutral,coffin,medium,minimal,date,Minimal Nude
cool,round,long,bold,party,Marble
warm,oval,long,minimal,work,Minimal Nude
cool,round,medium,bold,daily,Cat Eye
cool,almond,short,classic,work,French Classic
warm,coffin,long,bold,wedding,Glitter Gold
cool,almond,medium,minimal,work,Minimal Nude
cool,square,short,classic,wedding,Korean Pink
neutral,square,medium,minimal,party,Terracotta Swirl
neutral,coffin,long,classic,work,French Classic
warm,squoval,short,bold,work,Minimal Nude
neutral,coffin,long,classic,work,French Classic
cool,square,medium,minimal,work,Minimal Nude
cool,oval,long,minimal,wedding,Marble
cool,oval,medium,bold,party,Marble
cool,squoval,long,minimal,party,Marble
neutral,square,long,minimal,daily,Minimal Nude
warm,stiletto,short,bold,daily,Minimal Nude
cool,round,medium,classic,party,Korean Pink
warm,round,short,classic,work,French Classic
cool,coffin,medium,minimal,wedding,Korean Pink
warm,square,short,minimal,wedding,Minimal Nude
cool,stiletto,short,minimal,daily,Minimal Nude
cool,oval,short,minimal,daily,Minimal Nude
cool,stiletto,long,bold,date,Marble
warm,coffin,long,classic,daily,French Classic
warm,oval,short,classic,party,Korean Pink
cool,stiletto,medium,classic,work,Korean Pink
neutral,round,long,minimal,wedding,Terracotta Swirl
neutral,squoval,short,classic,daily,French Classic
warm,oval,long,classic,daily,French Classic
warm,stiletto,long,classic,date,Korean Pink
cool,stiletto,short,bold,daily,French Classic
warm,almond,medium,classic,party,Glitter Gold
cool,coffin,medium,bold,date,Cat Eye
cool,coffin,long,classic,party,Korean Pink
cool,square,medium,classic,wedding,Korean Pink
neutral,stiletto,medium,bold,date,Cat Eye
cool,round,long,classic,work,Korean Pink
cool,coffin,medium,classic,date,Korean Pink
warm,round,medium,bold,work,Cat Eye
neutral,coffin,long,minimal,date,Minimal Nude
warm,stiletto,long,classic,daily,French Classic
warm,almond,long,minimal,date,Minimal Nude
warm,square,long,bold,work,Cat Eye
neutral,coffin,medium,classic,daily,French Classic
cool,almond,medium,bold,party,Marble
cool,coffin,medium,bold,daily,Cat Eye
neutral,squoval,short,bold,work,French Classic
neutral,stiletto,short,classic,work,French Classic
neutral,square,short,classic,wedding,French Classic
neutral,coffin,short,minimal,daily,French Classic
warm,oval,short,bold,daily,French Classic
warm,squoval,medium,bold,party,Marble
cool,square,medium,classic,work,Korean Pink
neutral,almond,medium,bold,date,Cat Eye
neutral,squoval,short,classic,wedding,French Classic
cool,coffin,medium,classic,date,Korean Pink
cool,coffin,long,bold,wedding,Marble
neutral,squoval,short,classic,daily,French Classic
warm,squoval,medium,bold,daily,Glitter Gold
neutral,coffin,short,classic,party,French Classic
warm,almond,medium,minimal,wedding,Minimal Nude
neutral,stiletto,medium,minimal,date,Minimal Nude
warm,coffin,short,bold,daily,Minimal Nude
cool,round,long,minimal,party,Marble
neutral,squoval,long,bold,daily,Terracotta Swirl
warm,coffin,long,classic,work,French Classic
cool,stiletto,short,minimal,wedding,Korean Pink
cool,round,long,minimal,daily,Minimal Nude
cool,oval,short,classic,work,French Classic
warm,square,short,minimal,wedding,Minimal Nude
neutral,stiletto,medium,minimal,party,Terracotta Swirl
warm,round,short,minimal,work,Minimal Nude
neutral,almond,short,classic,party,French Classic
neutral,squoval,short,bold,date,Cat Eye
cool,coffin,long,minimal,party,Marble
cool,squoval,long,bold,party,Marble
cool,coffin,medium,classic,party,Korean Pink
warm,oval,short,minimal,work,Minimal Nude
neutral,oval,medium,bold,date,Cat Eye
cool,squoval,short,bold,work,French Classic
warm,almond,short,minimal,work,Minimal Nude
warm,coffin,long,classic,daily,French Classic
neutral,stiletto,short,minimal,date,Minimal Nude
neutral,almond,short,classic,work,French Classic
warm,stiletto,medium,minimal,work,Minimal Nude
cool,squoval,short,minimal,work,Minimal Nude
neutral,coffin,long,minimal,work,Minimal Nude
neutral,oval,short,classic,date,French Classic
warm,almond,short,minimal,party,Minimal Nude
cool,oval,medium,classic,daily,French Classic
warm,stiletto,medium,classic,daily,French Classic
neutral,square,medium,classic,date,Korean Pink
warm,coffin,short,classic,date,French Classic
neutral,squoval,long,bold,work,Cat Eye
neutral,square,medium,minimal,party,Terracotta Swirl
cool,round,long,minimal,work,Minimal Nude
warm,square,medium,classic,wedding,Korean Pink
cool,square,long,bold,wedding,Marble
cool,almond,medium,classic,date,Korean Pink
neutral,almond,long,bold,date,Terracotta Swirl
cool,round,long,classic,wedding,Korean Pink
neutral,coffin,short,classic,wedding,French Classic
cool,almond,long,minimal,wedding,Marble
cool,oval,long,minimal,wedding,Marble
warm,stiletto,medium,bold,party,Glitter Gold
neutral,squoval,long,bold,work,Cat Eye
warm,stiletto,long,classic,work,French Classic
cool,coffin,long,bold,wedding,Marble
cool,almond,long,minimal,daily,Minimal Nude
cool,coffin,short,minimal,date,Minimal Nude
cool,oval,long,classic,wedding,Korean Pink
cool,coffin,medium,bold,party,Marble
warm,square,long,minimal,wedding,Glitter Gold
cool,stiletto,long,classic,daily,French Classic
cool,squoval,long,bold,wedding,Marble
cool,oval,medium,minimal,party,Korean Pink
cool,almond,short,classic,party,Korean Pink
warm,oval,short,minimal,wedding,Minimal Nude
warm,round,short,classic,daily,French Classic
cool,oval,short,bold,party,Marble
neutral,almond,short,minimal,daily,Minimal Nude
neutral,coffin,medium,classic,party,Korean Pink
warm,almond,long,bold,wedding,Glitter Gold
cool,stiletto,short,minimal,daily,Minimal Nude
cool,stiletto,short,minimal,party,Korean Pink
neutral,round,short,minimal,date,Minimal Nude
cool,stiletto,medium,minimal,daily,Minimal Nude
cool,oval,short,classic,date,Korean Pink
warm,oval,medium,minimal,daily,Minimal Nude
cool,squoval,long,bold,party,Marble
warm,round,short,classic,party,French Classic
neutral,squoval,long,classic,daily,French Classic
cool,oval,long,classic,party,Korean Pink
neutral,square,medium,minimal,party,Terracotta Swirl
cool,stiletto,medium,bold,work,Cat Eye
neutral,round,long,bold,party,Terracotta Swirl
cool,oval,short,classic,wedding,Korean Pink
warm,coffin,medium,minimal,party,Minimal Nude
cool,round,long,bold,work,Cat Eye
warm,squoval,long,minimal,party,Glitter Gold
cool,squoval,short,classic,party,Korean Pink
cool,round,medium,classic,wedding,Korean Pink
cool,square,medium,minimal,work,Minimal Nude
neutral,coffin,long,bold,date,Terracotta Swirl
warm,squoval,medium,minimal,work,Minimal Nude
warm,almond,long,bold,daily,Glitter Gold
neutral,square,medium,minimal,wedding,Minimal Nude
cool,square,short,minimal,party,Korean Pink
neutral,round,short,minimal,date,Korean Pink
neutral,oval,medium,bold,party,Terracotta Swirl
warm,oval,short,minimal,date,Minimal Nude
warm,stiletto,short,classic,work,French Classic
cool,almond,medium,bold,work,Cat Eye
warm,oval,short,classic,work,French Classic
neutral,stiletto,short,bold,date,Cat Eye
cool,oval,short,minimal,party,Korean Pink
warm,oval,long,classic,date,Korean Pink
cool,oval,medium,minimal,daily,Minimal Nude
warm,coffin,long,minimal,daily,Minimal Nude
warm,round,medium,classic,date,French Classic
neutral,stiletto,medium,bold,date,Cat Eye
neutral,squoval,long,bold,wedding,Terracotta Swirl
neutral,coffin,long,classic,wedding,Korean Pink
cool,oval,long,classic,work,Korean Pink
warm,round,long,classic,wedding,Glitter Gold
cool,squoval,medium,classic,wedding,Berry Jelly
warm,stiletto,short,minimal,party,Minimal Nude
warm,squoval,long,bold,work,Cat Eye
cool,squoval,short,minimal,daily,Minimal Nude
cool,square,medium,classic,party,Korean Pink
cool,oval,medium,minimal,party,Korean Pink
warm,oval,long,minimal,wedding,Glitter Gold
cool,squoval,medium,bold,party,Cat Eye
cool,stiletto,long,bold,party,Terracotta Swirl
warm,square,medium,minimal,wedding,Minimal Nude
warm,round,short,minimal,date,Minimal Nude
warm,almond,short,bold,date,Cat Eye
cool,squoval,medium,bold,party,Marble
cool,square,medium,minimal,date,Korean Pink
cool,stiletto,medium,classic,date,French Classic
neutral,coffin,long,bold,daily,Terracotta Swirl
warm,stiletto,medium,classic,party,Glitter Gold
neutral,square,short,minimal,work,French Classic
cool,squoval,short,minimal,daily,Minimal Nude
warm,oval,medium,bold,work,Cat Eye
warm,squoval,long,bold,wedding,Glitter Gold
warm,round,short,minimal,daily,Minimal Nude
cool,stiletto,short,minimal,party,Korean Pink
warm,coffin,medium,minimal,daily,Minimal Nude
cool,almond,long,classic,party,Korean Pink
cool,almond,long,bold,wedding,Marble
cool,almond,short,bold,date,Cat Eye
cool,stiletto,long,minimal,work,Minimal Nude
cool,squoval,medium,classic,date,Korean Pink
neutral,squoval,short,bold,wedding,Terracotta Swirl
cool,round,short,bold,work,French Classic
warm,oval,medium,minimal,daily,Minimal Nude
neutral,square,medium,bold,party,Terracotta Swirl
cool,square,short,minimal,work,Minimal Nude
neutral,round,medium,minimal,party,Terracotta Swirl
cool,oval,medium,classic,daily,French Classic
cool,round,medium,minimal,party,Korean Pink
cool,squoval,long,minimal,party,Marble
warm,square,short,bold,work,Minimal Nude
neutral,square,long,classic,daily,French Classic
warm,stiletto,long,minimal,work,Minimal Nude
cool,round,long,bold,work,Cat Eye
warm,squoval,short,minimal,work,Minimal Nude
cool,coffin,long,bold,wedding,Marble
warm,round,short,classic,wedding,Minimal Nude
warm,round,long,minimal,work,Minimal Nude
cool,stiletto,medium,minimal,wedding,Korean Pink
neutral,stiletto,long,minimal,date,Minimal Nude
warm,squoval,long,classic,work,French Classic
neutral,almond,short,classic,date,French Classic
cool,round,medium,classic,work,Korean Pink
cool,square,long,classic,wedding,Korean Pink
cool,squoval,short,classic,wedding,Korean Pink
cool,oval,long,minimal,daily,French Classic
warm,oval,short,classic,work,French Classic
warm,square,medium,bold,wedding,Glitter Gold
neutral,squoval,medium,classic,daily,French Classic
neutral,coffin,long,bold,date,Terracotta Swirl
neutral,oval,medium,bold,daily,Cat Eye
cool,oval,medium,minimal,daily,French Classic
cool,oval,medium,classic,party,Korean Pink
cool,squoval,short,classic,party,Korean Pink
neutral,stiletto,long,minimal,daily,Minimal Nude
warm,square,medium,minimal,party,Minimal Nude
cool,oval,short,minimal,work,Minimal Nude
cool,square,short,bold,work,French Classic
warm,coffin,medium,bold,wedding,Glitter Gold
cool,square,short,minimal,party,Korean Pink
neutral,oval,short,minimal,wedding,Minimal Nude
neutral,coffin,long,classic,date,Korean Pink
neutral,almond,long,bold,work,Cat Eye
neutral,stiletto,short,classic,date,French Classic
neutral,stiletto,medium,minimal,wedding,Minimal Nude
cool,almond,long,minimal,party,Marble
cool,squoval,long,bold,work,Cat Eye
neutral,oval,medium,classic,wedding,Korean Pink
warm,stiletto,short,bold,date,Cat Eye
cool,round,long,minimal,daily,Minimal Nude
cool,oval,medium,minimal,party,Korean Pink
cool,almond,long,classic,daily,Korean Pink
neutral,stiletto,long,classic,date,Korean Pink
cool,almond,short,bold,date,Cat Eye
warm,stiletto,short,classic,date,French Classic
warm,almond,long,minimal,daily,Minimal Nude
warm,square,long,minimal,party,Glitter Gold
neutral,coffin,medium,minimal,wedding,Minimal Nude
cool,oval,medium,minimal,work,Minimal Nude
cool,square,long,bold,date,Marble
warm,oval,short,minimal,work,French Classic
warm,round,medium,classic,daily,French Classic
neutral,squoval,long,minimal,party,Terracotta Swirl
cool,stiletto,short,classic,daily,French Classic
cool,stiletto,short,bold,wedding,Marble
neutral,stiletto,short,minimal,work,Minimal Nude
warm,almond,long,bold,work,Cat Eye
neutral,square,short,classic,party,French Classic
cool,round,long,classic,work,Korean Pink
neutral,coffin,medium,bold,daily,Cat Eye
neutral,oval,long,classic,date,Korean Pink
cool,square,long,classic,work,Korean Pink
warm,squoval,short,minimal,date,Minimal Nude
neutral,square,long,classic,party,Terracotta Swirl
warm,square,medium,minimal,work,Minimal Nude
neutral,almond,long,minimal,date,Minimal Nude
cool,almond,long,bold,wedding,Marble
warm,stiletto,long,classic,work,French Classic
cool,square,short,minimal,daily,Minimal Nude
neutral,oval,long,classic,party,Terracotta Swirl
cool,square,medium,minimal,date,Korean Pink
cool,square,long,classic,party,Berry Jelly
cool,oval,long,minimal,work,Minimal Nude
neutral,almond,short,classic,daily,Minimal Nude
cool,square,short,minimal,date,Minimal Nude
warm,oval,short,classic,wedding,French Classic
neutral,stiletto,long,minimal,date,Minimal Nude
neutral,almond,medium,bold,wedding,Terracotta Swirl
cool,stiletto,short,classic,party,Berry Jelly
cool,coffin,short,minimal,daily,Korean Pink
warm,round,medium,minimal,party,Minimal Nude
cool,almond,short,classic,work,French Classic
neutral,stiletto,short,minimal,wedding,Minimal Nude
neutral,almond,long,minimal,daily,Minimal Nude
neutral,coffin,short,minimal,date,Minimal Nude
cool,round,long,bold,wedding,Marble
neutral,stiletto,short,classic,date,French Classic
cool,oval,long,bold,party,Marble
neutral,square,medium,minimal,party,Terracotta Swirl
cool,almond,medium,classic,work,Korean Pink
warm,coffin,medium,classic,date,French Classic
warm,squoval,long,minimal,wedding,Glitter Gold
neutral,oval,long,bold,daily,Terracotta Swirl
warm,oval,long,minimal,work,Minimal Nude
neutral,round,long,minimal,party,Terracotta Swirl
warm,square,short,bold,daily,Minimal Nude
neutral,round,long,minimal,party,Terracotta Swirl
warm,squoval,short,minimal,daily,Minimal Nude
cool,squoval,medium,bold,date,Cat Eye
cool,coffin,short,bold,work,French Classic
cool,oval,long,bold,work,Cat Eye
cool,squoval,short,classic,daily,French Classic
warm,round,short,bold,party,Glitter Gold
warm,squoval,short,classic,work,French Classic
warm,squoval,short,classic,date,Minimal Nude
cool,square,long,minimal,party,Marble
cool,stiletto,medium,classic,wedding,Korean Pink
warm,squoval,short,minimal,work,Minimal Nude
cool,oval,long,bold,work,Cat Eye
neutral,square,long,classic,daily,French Classic
neutral,almond,medium,bold,party,Glitter Gold
warm,oval,medium,classic,work,French Classic
neutral,almond,long,bold,date,Terracotta Swirl
neutral,squoval,long,minimal,work,Minimal Nude
cool,stiletto,long,bold,party,Marble
warm,squoval,short,minimal,daily,Minimal Nude
neutral,stiletto,medium,classic,wedding,Korean Pink
neutral,squoval,long,bold,date,Terracotta Swirl
warm,squoval,medium,bold,work,Cat Eye
cool,round,medium,classic,party,Korean Pink
neutral,square,medium,minimal,party,Terracotta Swirl
warm,coffin,short,minimal,date,Minimal Nude
warm,squoval,short,minimal,party,Minimal Nude
neutral,round,short,bold,date,Cat Eye
warm,oval,long,minimal,work,Minimal Nude
warm,square,short,bold,party,Glitter Gold
cool,coffin,long,classic,work,Korean Pink
neutral,round,short,classic,date,French Classic
neutral,stiletto,short,minimal,party,Minimal Nude
neutral,oval,long,bold,daily,Terracotta Swirl
cool,stiletto,short,classic,wedding,Korean Pink
neutral,almond,short,bold,wedding,Cat Eye
cool,square,medium,bold,work,Cat Eye
neutral,almond,short,bold,wedding,Terracotta Swirl
warm,oval,long,minimal,work,Minimal Nude
warm,oval,short,classic,party,Korean Pink
warm,almond,short,minimal,daily,Minimal Nude
neutral,oval,medium,bold,wedding,Terracotta Swirl
cool,oval,long,minimal,work,Minimal Nude
warm,oval,medium,minimal,date,Minimal Nude
cool,round,short,minimal,work,French Classic
warm,squoval,short,bold,work,Minimal Nude
neutral,coffin,long,bold,date,Terracotta Swirl
neutral,almond,medium,classic,work,French Classic
neutral,almond,long,bold,work,Cat Eye
cool,oval,long,classic,wedding,Korean Pink
neutral,oval,long,minimal,work,Minimal Nude
cool,stiletto,long,classic,daily,Korean Pink
warm,stiletto,long,minimal,daily,Minimal Nude
neutral,almond,short,bold,party,Terracotta Swirl
neutral,almond,long,bold,work,Cat Eye
neutral,oval,short,minimal,daily,Minimal Nude
neutral,almond,short,minimal,date,Minimal Nude
cool,almond,long,minimal,wedding,Marble
neutral,oval,short,minimal,party,Minimal Nude
warm,oval,short,bold,daily,Minimal Nude
neutral,squoval,short,classic,date,Korean Pink
cool,oval,long,classic,wedding,Korean Pink
warm,stiletto,long,bold,daily,Glitter Gold
neutral,round,short,classic,work,French Classic
neutral,almond,short,minimal,work,Minimal Nude
warm,squoval,long,bold,wedding,Marble
neutral,almond,short,bold,work,French Classic
cool,squoval,long,minimal,date,Korean Pink
cool,square,short,minimal,date,Minimal Nude
neutral,coffin,long,bold,party,Terracotta Swirl
neutral,stiletto,short,minimal,work,Minimal Nude
cool,almond,long,minimal,wedding,Marble
warm,almond,medium,classic,daily,French Classic
warm,coffin,medium,minimal,party,Minimal Nude
cool,round,medium,bold,date,Cat Eye
warm,squoval,medium,bold,daily,Cat Eye
warm,stiletto,medium,bold,work,Cat Eye
cool,coffin,short,classic,wedding,Korean Pink
neutral,squoval,long,minimal,date,Minimal Nude
neutral,squoval,short,classic,work,French Classic
neutral,stiletto,long,bold,party,Terracotta Swirl
warm,stiletto,long,bold,date,Glitter Gold
warm,round,medium,minimal,daily,Minimal Nude
cool,stiletto,long,minimal,date,Korean Pink
neutral,round,medium,bold,wedding,Terracotta Swirl
neutral,oval,long,classic,party,Terracotta Swirl
warm,almond,short,classic,work,French Classic
warm,squoval,medium,minimal,work,Minimal Nude
warm,coffin,medium,bold,wedding,Glitter Gold
neutral,almond,long,bold,wedding,Terracotta Swirl
warm,round,short,classic,work,French Classic
neutral,stiletto,long,classic,work,French Classic
cool,round,medium,minimal,party,Korean Pink
neutral,squoval,short,classic,wedding,French Classic
warm,oval,medium,minimal,wedding,Minimal Nude
neutral,oval,medium,minimal,daily,Minimal Nude
cool,squoval,medium,classic,wedding,Korean Pink
neutral,almond,long,bold,daily,Terracotta Swirl
neutral,round,medium,minimal,date,Minimal Nude
neutral,oval,medium,classic,work,French Classic
neutral,round,long,bold,wedding,Glitter Gold
neutral,round,medium,minimal,work,Minimal Nude
warm,stiletto,medium,minimal,date,Minimal Nude
cool,coffin,short,classic,work,French Classic
warm,round,short,bold,date,Cat Eye
cool,coffin,short,bold,daily,French Classic
warm,oval,long,minimal,work,Minimal Nude
warm,squoval,long,classic,work,Korean Pink
warm,coffin,short,minimal,date,Minimal Nude
cool,stiletto,medium,classic,daily,French Classic
neutral,stiletto,medium,bold,date,Cat Eye
warm,oval,short,minimal,daily,Minimal Nude
cool,stiletto,medium,minimal,date,Korean Pink
neutral,almond,short,minimal,party,Minimal Nude
neutral,coffin,medium,classic,wedding,Korean Pink
neutral,round,long,classic,daily,French Classic
neutral,oval,medium,classic,date,Korean Pink
warm,round,short,classic,date,French Classic
neutral,coffin,long,classic,daily,French Classic
warm,oval,medium,bold,party,Glitter Gold
warm,almond,short,classic,work,French Classic
neutral,oval,short,bold,date,Cat Eye
warm,oval,medium,classic,wedding,Korean Pink
warm,round,medium,minimal,wedding,Minimal Nude
neutral,squoval,long,minimal,wedding,Terracotta Swirl
cool,oval,medium,classic,party,Korean Pink
neutral,round,long,bold,daily,Terracotta Swirl
warm,squoval,short,minimal,work,Minimal Nude
warm,almond,short,classic,party,French Classic
neutral,round,short,classic,work,French Classic
warm,square,long,minimal,daily,Minimal Nude
warm,square,medium,classic,daily,French Classic
neutral,almond,short,classic,date,French Classic
neutral,stiletto,medium,classic,date,Korean Pink
warm,almond,short,bold,wedding,Glitter Gold
warm,round,short,classic,date,Korean Pink
cool,stiletto,short,classic,wedding,Korean Pink
neutral,almond,long,bold,work,Cat Eye
warm,oval,long,classic,date,Korean Pink
warm,round,long,classic,party,Glitter Gold
warm,almond,short,bold,wedding,Glitter Gold
neutral,coffin,short,classic,wedding,French Classic
warm,coffin,medium,classic,date,French Classic
cool,stiletto,long,bold,date,Marble
neutral,squoval,long,bold,party,Terracotta Swirl
neutral,square,long,bold,date,Terracotta Swirl
neutral,coffin,long,bold,party,Glitter Gold
cool,oval,long,classic,date,Korean Pink
neutral,oval,short,classic,date,French Classic
warm,stiletto,long,classic,date,Korean Pink
warm,oval,short,minimal,work,Minimal Nude
warm,square,short,classic,party,French Classic
warm,squoval,long,bold,daily,Glitter Gold
cool,oval,medium,bold,daily,Cat Eye
cool,round,long,classic,work,Korean Pink
cool,almond,long,minimal,date,Korean Pink
cool,coffin,long,bold,wedding,Marble
neutral,oval,long,bold,daily,Terracotta Swirl
cool,stiletto,short,classic,party,Korean Pink
warm,oval,long,bold,date,Glitter Gold
warm,almond,short,classic,date,French Classic
neutral,coffin,short,classic,wedding,Berry Jelly
cool,almond,medium,classic,party,Korean Pink
warm,round,long,classic,party,Marble
warm,stiletto,short,bold,wedding,Glitter Gold
warm,square,short,classic,party,French Classic
warm,almond,medium,bold,wedding,Glitter Gold
warm,stiletto,short,minimal,party,Minimal Nude
warm,round,long,bold,party,Glitter Gold
cool,round,short,minimal,party,Korean Pink
warm,round,long,minimal,date,Minimal Nude
warm,round,short,classic,date,Korean Pink
cool,round,medium,bold,date,Korean Pink
cool,round,medium,classic,work,Korean Pink
neutral,oval,long,classic,party,Terracotta Swirl
warm,coffin,medium,minimal,wedding,Minimal Nude
cool,squoval,medium,bold,wedding,Marble
warm,coffin,medium,minimal,party,Minimal Nude
cool,coffin,short,bold,work,French Classic
neutral,stiletto,short,bold,party,Terracotta Swirl
cool,squoval,short,minimal,date,Minimal Nude
neutral,round,medium,minimal,party,Terracotta Swirl
neutral,almond,medium,minimal,work,Minimal Nude
cool,oval,short,minimal,wedding,Korean Pink
warm,oval,medium,classic,daily,French Classic
warm,squoval,short,minimal,work,Minimal Nude
warm,almond,short,minimal,party,Minimal Nude
cool,oval,long,bold,wedding,Marble
cool,almond,long,classic,party,Korean Pink
warm,squoval,short,bold,date,Cat Eye
cool,almond,short,bold,work,French Classic
cool,round,short,classic,wedding,Korean Pink
warm,squoval,medium,classic,daily,French Classic
warm,coffin,medium,minimal,party,Minimal Nude
warm,oval,medium,bold,party,Glitter Gold
warm,oval,short,minimal,work,Minimal Nude
cool,stiletto,long,bold,work,Cat Eye
warm,square,long,classic,work,French Classic
cool,coffin,medium,bold,date,Cat Eye
cool,stiletto,short,bold,work,French Classic
neutral,oval,long,bold,wedding,Terracotta Swirl
cool,oval,long,classic,daily,Korean Pink
neutral,almond,long,bold,party,Terracotta Swirl
warm,squoval,medium,bold,daily,Cat Eye
cool,oval,medium,bold,work,Cat Eye
warm,square,short,classic,date,French Classic
neutral,stiletto,short,minimal,work,Minimal Nude
cool,coffin,short,minimal,party,Korean Pink
neutral,square,short,classic,date,French Classic
warm,coffin,medium,classic,date,French Classic
warm,almond,long,minimal,daily,Minimal Nude
warm,square,long,classic,party,Glitter Gold
warm,almond,long,bold,wedding,Glitter Gold
neutral,almond,long,classic,date,Korean Pink
warm,oval,short,classic,daily,French Classic
neutral,coffin,short,bold,date,Cat Eye
neutral,almond,long,bold,wedding,Terracotta Swirl
cool,coffin,short,classic,date,Korean Pink
neutral,almond,long,bold,daily,Terracotta Swirl
cool,square,medium,bold,date,Cat Eye
warm,coffin,long,classic,daily,French Classic
warm,oval,long,classic,party,Glitter Gold
warm,almond,long,minimal,daily,Minimal Nude
cool,square,medium,minimal,date,Minimal Nude
neutral,squoval,medium,bold,date,Cat Eye
neutral,oval,long,bold,party,Terracotta Swirl
